delta_t_mean,delta_t_std,delta_t_max,delta_t_q25,delta_t_q75,X_count,X_run_length_avg,Y_count,Y_run_length_avg,B_count,B_run_length_avg,A_count,A_run_length_avg,RB_count,RB_run_length_avg,LB_count,LB_run_length_avg,RT_count,RT_run_length_avg,LT_count,LT_run_length_avg,RStick_count,RStick_run_length_avg,LStick_count,LStick_run_length_avg,CenterArrow_count,CenterArrow_run_length_avg,UpArrow_count,UpArrow_run_length_avg,DownArrow_count,DownArrow_run_length_avg,LeftArrow_count,LeftArrow_run_length_avg,RightArrow_count,RightArrow_run_length_avg,UpRightArrow_count,UpRightArrow_run_length_avg,UpLeftArrow_count,UpLeftArrow_run_length_avg,DownRightArrow_count,DownRightArrow_run_length_avg,DownLeftArrow_count,DownLeftArrow_run_length_avg,Center_count,Center_run_length_avg,Up_count,Up_run_length_avg,Down_count,Down_run_length_avg,Right_count,Right_run_length_avg,Left_count,Left_run_length_avg,UpRight_count,UpRight_run_length_avg,UpLeft_count,UpLeft_run_length_avg,DownRight_count,DownRight_run_length_avg,DownLeft_count,DownLeft_run_length_avg,stick_distance_mean,stick_distance_std,idle_mean,time_since_event,shoryuken_count,hadoken_count,has_shoryuken,has_hadoken,has_simultaneous_press,simultaneous_press_count,max_simultaneous_buttons,simultaneous_press_ratio,has_rapid_input,rapid_input_count,max_rapid_length,rapid_input_ratio,response_to_opponent_attack,attack_after_opponent_defense,mutual_attack_count,defensive_ratio,aggressive_ratio,player_name,train_file_indices,data_type
-0.011873980880532537,-0.013349494514554108,-0.013626072418922932,-0.09395346174278055,9.919789205439303,-0.08285697811574633,-0.2615178369962729,-0.28074663843049735,-0.2723711675977147,-0.40348719478317163,-0.3815063302357232,-0.25765413410842114,-0.3616612125868144,-0.41187092359591054,-0.3683319558440468,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.184879164679582,0.24489953045313909,9.449982040596732,4.303644344358545,-0.08254379591255444,-0.07613024281694887,0.15053532339565626,0.23383724904712697,-0.17347163814002267,-0.15476140506500888,2.4053390724718438,2.7440145220596524,1.3005379734770588,1.5481020018424971,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,-0.37481966638636816,-0.36306922040568546,-0.3836950479525367,-0.37927337907662817,-0.4148449483991632,-0.39458680507186655,-0.6375914583985016,-0.6230014867473472,0.7646680871209537,0.790412006241916,-0.2724723104264551,-0.2674240387806523,-0.19699214115841635,-0.19078651273179184,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,-0.15362260617952156,0.019501698950329546,-0.02671861957938587,-0.011873980880532516,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.20139766839233866,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.6815990876617803,-0.07467863612634797,-0.5605460266983693,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.015280961151996253,-0.0153033496390015,-0.015287388524803918,-0.09395346174278055,-0.2165025819923441,-0.38043971730311205,-0.3647705686519409,-0.28074663843049735,-0.2723711675977147,-0.40348719478317163,-0.3815063302357232,-0.4483736534580243,-0.42780773668045086,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,-0.37481966638636816,-0.36306922040568546,-0.3836950479525367,-0.37927337907662817,-0.4148449483991632,-0.39458680507186655,-0.6375914583985016,-0.6230014867473472,2.1223486948981387,2.159226454936464,-0.2724723104264551,-0.2674240387806523,-0.19699214115841635,-0.19078651273179184,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,-0.1625432910959846,0.01953783445763039,-0.02671861957938587,-0.015280961151996248,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.8318504202630314,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.7316318784168148,-0.07467863612634797,-0.8699071028792562,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.015294036419019925,-0.015305514051743768,-0.015287388524803918,-0.09395346174278055,-0.2165025819923441,-0.38043971730311205,-0.3647705686519409,-0.28074663843049735,-0.2723711675977147,-0.40348719478317163,-0.3815063302357232,-0.4483736534580243,-0.42780773668045086,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,-0.4442131711541126,-0.4330575933662239,-0.3836950479525367,-0.37927337907662817,-0.4148449483991632,-0.39458680507186655,-0.6375914583985016,-0.6230014867473472,2.1766559192092263,2.213979032884246,-0.2724723104264551,-0.2674240387806523,-0.19699214115841635,-0.19078651273179184,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,-0.3946216664414093,-0.5628289410171458,-0.02671861957938587,-0.01529403641901992,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.8318504202630314,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.7316318784168148,-0.07467863612634797,-0.8699071028792562,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.015309031490753784,-0.015315199673543117,-0.01529664248917581,-0.09395346174278055,-0.2165025819923441,-0.38043971730311205,-0.3647705686519409,-0.28074663843049735,-0.2723711675977147,-0.40348719478317163,-0.3815063302357232,-0.4483736534580243,-0.42780773668045086,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,-0.4442131711541126,-0.4330575933662239,-0.3836950479525367,-0.37927337907662817,-0.4148449483991632,-0.39458680507186655,-0.6375914583985016,-0.6230014867473472,2.1766559192092263,2.213979032884246,-0.2724723104264551,-0.2674240387806523,-0.19699214115841635,-0.19078651273179184,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,-0.3946216664414093,-0.5628289410171458,-0.02671861957938587,-0.01530903149075378,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.8318504202630314,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.7316318784168148,-0.07467863612634797,-0.8699071028792562,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.015309349994736888,-0.015315211216189846,-0.01529664185056398,-0.09395346174278055,-0.2165025819923441,-0.38043971730311205,-0.3647705686519409,-0.28074663843049735,-0.2723711675977147,-0.40348719478317163,-0.3815063302357232,-0.4483736534580243,-0.42780773668045086,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,-0.4442131711541126,-0.4330575933662239,-0.3836950479525367,-0.37927337907662817,-0.4148449483991632,-0.39458680507186655,-0.6375914583985016,-0.6230014867473472,2.1766559192092263,2.213979032884246,-0.2724723104264551,-0.2674240387806523,-0.19699214115841635,-0.19078651273179184,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,-0.3946216664414093,-0.5628289410171458,-0.02671861957938587,-0.015309349994736883,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.8318504202630314,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.7316318784168148,-0.07467863612634797,-0.8699071028792562,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.015137889641739349,-0.015218562028279812,-0.015204452964392545,-0.09395346174278055,-0.2165025819923441,-0.38043971730311205,-0.3647705686519409,-0.28074663843049735,-0.2723711675977147,-0.40348719478317163,-0.3815063302357232,-0.4483736534580243,-0.42780773668045086,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,-0.23603265685087935,-0.3280750339254162,-0.3151571175707367,-0.3102160762468304,-0.4148449483991632,-0.39458680507186655,-0.48996620792465423,-0.5486423241555476,1.5792764517872648,0.5440254054768974,-0.06889535857515397,-0.06092480111593527,0.09509965435233894,-0.041335718451254784,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,1.3592711811840243,1.3541872201263228,-0.02671861957938587,-0.015137889641739344,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.8318504202630314,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.7316318784168148,-0.07467863612634797,-0.8699071028792562,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.014596646802962682,-0.015127396933332928,-0.015159636623057585,-0.09395346174278055,10.617801944657796,-0.3060440325062706,-0.2873310199101899,-0.0848721473137078,-0.07022971333860915,-0.25981563277967173,-0.23040658358158925,-0.3212273072249555,-0.3616612125868144,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,1.0130504289685203,-0.06561863532339691,-0.10954332642533672,-0.3102160762468304,-0.4148449483991632,-0.39458680507186655,-0.48996620792465423,-0.5486423241555476,0.22159584401007978,-0.14038181887037676,0.03289311735049659,0.04232481771642324,0.5332373476184719,0.05829814440243661,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,2.2207740692154743,1.4680593115462106,-0.02671861957938587,-0.014596646802962673,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.20139766839233866,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.631566296906746,-0.07467863612634797,-0.25118495051748246,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.014749606784249907,-0.015143979827940657,-0.015159636623057585,-0.09395346174278055,5.366202571139997,-0.3060440325062706,-0.2873310199101899,-0.0848721473137078,-0.07022971333860915,-0.25981563277967173,-0.23040658358158925,-0.3212273072249555,-0.3616612125868144,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,0.8742634194330313,0.2318319497588916,-0.1780812568071367,-0.3102160762468304,-0.4148449483991632,-0.39458680507186655,-0.6375914583985016,-0.6230014867473472,0.7646680871209537,0.790412006241916,-0.17068383450080454,-0.1641744199482938,0.24114555210771657,0.25756587010981935,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,0.6761361131376891,0.4737122157161325,-0.02671861957938587,-0.0147496067842499,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.20139766839233866,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.631566296906746,-0.07467863612634797,-0.25118495051748246,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.015141000922753249,-0.01516861795419386,-0.015149028003341843,-0.09395346174278055,-0.2164290682757334,-0.38043971730311205,-0.3647705686519409,-0.28074663843049735,-0.2723711675977147,-0.40348719478317163,-0.3815063302357232,-0.4483736534580243,-0.42780773668045086,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,1.2212309432717534,0.4068028821602378,-0.3836950479525367,-0.37927337907662817,-0.4148449483991632,-0.39458680507186655,-0.6375914583985016,-0.6230014867473472,0.8732825357431286,0.8999171621374799,-0.2724723104264551,-0.2674240387806523,-0.19699214115841635,-0.19078651273179184,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,-0.0820711641877495,0.017895208001066195,-0.02671861957938587,-0.015141000922753242,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.8318504202630314,-0.5245920086730257,-1.283735931247816,-0.6944360070359165,-1.0164762897096449,-0.694436007035844,-0.06992837091995081,-0.06967383356843365,-0.7316318784168148,-0.07467863612634797,-0.8699071028792562,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
-0.015139408562488847,-0.015168647024657858,-0.015149028003341843,-0.09395346174278055,-0.216282040842512,-0.38043971730311205,-0.3647705686519409,-0.28074663843049735,-0.2723711675977147,-0.40348719478317163,-0.3815063302357232,-0.1305077878753523,-0.09707511621226861,-0.4789799893446042,-0.4393016312485404,-0.21168302516059484,-0.20771779570985036,-0.5913124076855993,-0.5588361684215349,-0.289206779985988,-0.28459884273173613,0.0,0.0,-0.05639345927400406,-0.05639345927400406,1.4418731533030622,1.4437066425439269,-0.07938381833192916,-0.07708385361272677,-0.08254379591255444,-0.07613024281694887,-0.10968003662607514,-0.09668498852894367,-0.17347163814002267,-0.15476140506500888,-0.0684050497763887,-0.05996398165410461,-0.05701633869229135,-0.050207214179088334,-0.10544012259491455,-0.09280050089594874,-0.0714040037414815,-0.0661319071175365,2.6091010386266418,2.646430816897469,-0.3836950479525367,-0.37927337907662817,-0.4148449483991632,-0.39458680507186655,-0.44075779110003843,-0.42471038650254805,-0.43009084772296896,-0.41414470860928637,-0.2724723104264551,-0.2674240387806523,-0.19699214115841635,-0.19078651273179184,-0.26533047322009906,-0.2505234466104242,-0.19153330119960757,-0.17250388812714293,0.15486056659222358,0.5811505350136865,-0.02671861957938587,-0.015139408562488842,0.0,0.0,0.0,0.0,-0.617879098477763,-0.5245920086730747,-0.20139766839233866,-0.5245920086730257,0.7789764044604706,-0.6430254564807707,-0.7799598117998197,-0.6430254564807041,-0.06992837091995081,-0.06967383356843365,-0.5315007153966772,-0.07467863612634797,0.8625149237337104,usigome,"[18, 19, 20, 22, 23, 24, 25, 26, 27, 28]",train
