[mutsumi] Timestamp: 2025-10-29 16:58:35.254870, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:35.362758, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:36.370759, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:36.470656, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:37.898744, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:38.619532, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:40.151293, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:40.850681, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:40.987046, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:41.007532, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:41.187363, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:41.354711, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:41.467115, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:41.547033, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:41.662913, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:41.718855, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:41.959606, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:42.055525, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:42.267305, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:42.267305, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:42.474599, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:44.198674, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:45.359523, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:45.470762, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:45.739146, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:45.810582, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:46.003396, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:46.243178, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:46.774698, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:46.979516, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:58:47.026973, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:47.390686, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:48.655484, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:48.747404, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:51.830767, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:52.122497, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:52.251378, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:52.318839, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:52.410782, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:52.542671, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:52.554658, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:52.702539, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:52.766473, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:52.859389, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:53.035249, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:53.059224, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:53.259085, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:53.367009, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:53.494907, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:53.818572, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:54.294659, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:55.275271, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:55.983464, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:56.171286, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:56.351099, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:56.450996, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:56.518926, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:56.658781, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:56.798637, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:56.826607, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:56.922508, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:57.011416, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:57.070862, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:57.207229, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:57.331101, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:57.359071, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:57.494931, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:57.650770, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:57.682737, Code: BTN_SOUTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:57.902509, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:58:58.199218, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:58.231185, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:58.486919, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:58.758639, Code: BTN_WEST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:58:58.766630, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:59.502501, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:58:59.978538, Code: BTN_EAST, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:00.006510, Code: BTN_NORTH, State: 1
[mutsumi] Timestamp: 2025-10-29 16:59:00.747291, Code: BTN_NORTH, State: 1
