[kota] Timestamp: 2025-10-29 15:15:26.968367, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:27.241797, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:27.291901, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:28.123317, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:28.124315, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:28.663441, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:15:28.871336, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:29.768747, Code: BTN_TL, State: 1
[jin] Timestamp: 2025-10-29 15:15:30.538089, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:15:30.552091, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:30.775594, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:30.975877, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:15:31.742882, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:32.136852, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:15:32.418582, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:32.497133, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:15:33.010905, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:33.154210, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:15:33.269273, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:33.501347, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:15:33.535735, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:15:34.138602, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:15:34.327243, Code: ABS_HAT0X, State: -1
