[kota] Timestamp: 2025-10-29 15:30:38.761180, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:30:38.935668, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:30:38.969633, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:30:39.053560, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:30:39.078533, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:30:39.081530, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:30:39.305295, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:30:39.366232, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:30:39.377220, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:30:39.405191, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:30:39.573015, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:30:39.585002, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:30:39.657434, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:30:39.731863, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:30:39.740854, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:30:39.840256, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:30:39.881213, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:30:39.909184, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:30:40.061559, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:30:40.138090, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:30:40.167914, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:30:40.313338, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:30:40.341309, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:30:40.711960, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:30:40.749090, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:30:40.776889, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:30:40.833396, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:30:40.946256, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:30:41.025720, Code: ABS_HAT0X, State: -1
