Timestamp: 2025-10-28 17:53:15.606279, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:15.622264, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:15.669333, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:15.669333, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:53:15.716932, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:15.731937, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:15.762827, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:15.762827, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:53:17.284738, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:17.320813, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:17.421238, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:17.718902, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:18.240351, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:18.380343, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:18.551696, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:18.582841, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:18.646347, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:18.863322, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:19.336082, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:19.522351, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:53:25.712046, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:25.736036, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:25.985827, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:53:26.516718, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:26.574277, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:26.989053, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:53:27.141126, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:53:27.518132, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:53:27.771170, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:27.855667, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:28.036183, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:28.133576, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:28.211241, Type: Key, Code: BTN_TR, State: 1
Timestamp: 2025-10-28 17:53:28.361182, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:28.435773, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:28.905923, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:28.945520, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:29.326298, Type: Absolute, Code: ABS_HAT0Y, State: -1
Timestamp: 2025-10-28 17:53:29.834987, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:53:30.151755, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:30.304177, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:30.489319, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:30.508299, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:30.684041, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:53:30.803955, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:30.897891, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:31.198007, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:31.225533, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:32.188204, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:32.310868, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:32.687365, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:32.743278, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:32.795118, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:32.980430, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:33.322143, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:33.400090, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:33.415176, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:33.431160, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:33.508418, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:53:33.508418, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:33.555226, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:53:33.601427, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:53:33.883665, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:53:33.897140, Type: Absolute, Code: ABS_HAT0Y, State: 1
