[kota] Timestamp: 2025-10-29 15:22:41.105641, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:41.328688, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:22:41.341187, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:22:41.588792, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:22:41.779912, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:22:41.969816, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:22:41.990364, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:22:42.241988, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:22:42.394409, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:42.434130, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:22:42.590528, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:42.596523, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:22:42.757963, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:42.905776, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:22:42.941738, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:43.004790, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:22:43.073027, Code: ABS_HAT0Y, State: -1
[kota] Timestamp: 2025-10-29 15:22:43.429921, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:43.837949, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:43.840947, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:22:43.977883, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:44.185873, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:44.398274, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:44.578516, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:44.634468, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:22:44.683917, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:22:44.733863, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:44.901761, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:22:45.069711, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:22:45.250257, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:22:45.406116, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:22:45.585716, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:45.752776, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:45.760759, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:45.781735, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:45.976816, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:45.977814, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:46.146358, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:46.160344, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:46.301953, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:46.340912, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:46.470400, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:46.475928, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:46.649529, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:46.957676, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:22:47.065307, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:22:47.080293, Code: ABS_HAT0Y, State: -1
[kota] Timestamp: 2025-10-29 15:22:47.153792, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:47.674103, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:47.925729, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:48.094077, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:48.329757, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:48.389356, Code: BTN_TL, State: 1
[kota] Timestamp: 2025-10-29 15:22:48.486256, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:48.721852, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:48.832107, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:48.933669, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:49.130167, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:49.342819, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:49.366305, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:49.469761, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:22:49.609655, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:49.661647, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:49.787044, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:49.870024, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:49.964944, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:50.065697, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:50.176579, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:50.261491, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:50.376369, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:22:50.597404, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:50.905531, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:51.102185, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:51.313750, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:22:51.593690, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:22:52.697410, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:52.982474, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.103509, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:22:53.105507, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.208400, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.209398, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.306294, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.309292, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.390042, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.435504, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.485725, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.547667, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.579229, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.669650, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:53.686631, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:22:54.342776, Code: ABS_HAT0X, State: -1
[keita] Timestamp: 2025-10-29 15:22:54.889648, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:22:54.955194, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:55.022260, Code: ABS_HAT0X, State: 1
[keita] Timestamp: 2025-10-29 15:22:55.511554, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:22:55.693696, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:22:55.989821, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:56.169741, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:56.309595, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:56.470563, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:22:56.506113, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:56.570590, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:22:56.689947, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:56.870111, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:57.065934, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:22:57.112498, Code: ABS_HAT0Y, State: 1
[keita] Timestamp: 2025-10-29 15:22:57.161440, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:22:57.233375, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:22:57.429290, Code: BTN_WEST, State: 1
