[ozu] Timestamp: 2025-10-29 17:09:41.890943, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:41.891942, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:42.075278, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:42.179171, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:42.255093, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:42.423918, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:42.607743, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:42.627723, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:42.787066, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:42.971383, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:43.167196, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:43.347010, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:44.131736, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:44.327041, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:44.523345, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:44.523345, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:44.878991, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:45.223648, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:45.819060, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:46.035836, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:46.247149, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:47.323083, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:47.739666, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:48.010893, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 17:09:48.147773, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:48.387034, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:48.403017, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 17:09:48.635285, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:48.867059, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:49.522903, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:50.466977, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:50.570869, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:50.755693, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:51.482984, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:51.635841, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:51.767716, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:52.698887, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:53.575211, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:54.378903, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:55.087708, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:09:55.123672, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:55.318975, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:56.482970, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:56.650797, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:57.126831, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:09:57.174781, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:57.494979, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:58.106868, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:09:59.090894, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:09:59.126857, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:09:59.675809, Code: BTN_TL, State: 1
[koike] Timestamp: 2025-10-29 17:09:59.743739, Code: BTN_THUMBL, State: 1
[ozu] Timestamp: 2025-10-29 17:10:00.875626, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:01.022983, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:01.174825, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:01.447070, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:01.634875, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:01.963551, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:03.410775, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:03.454730, Code: BTN_TL, State: 1
[ozu] Timestamp: 2025-10-29 17:10:03.659532, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:04.027660, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:05.483723, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:05.687527, Code: ABS_RZ, State: 1
[koike] Timestamp: 2025-10-29 17:10:06.071637, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:06.687042, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:07.135600, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:07.582637, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:07.902827, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:08.030694, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:09.539223, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:10:09.626639, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:09.655609, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:09.759520, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:09.767512, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:09.795483, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:10.090735, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:10.143187, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:10:10.271070, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:10.335511, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:17.374840, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:19.751479, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 17:10:21.082670, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:22.274478, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:22.299452, Code: BTN_TL, State: 1
[ozu] Timestamp: 2025-10-29 17:10:22.510755, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:23.570707, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:24.251086, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:25.378550, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:25.463461, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:28.091380, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:29.774713, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:29.942540, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:30.958532, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:31.731277, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:32.366649, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:33.094419, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:34.522511, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:34.691336, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:35.130403, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:35.542508, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:36.231315, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:36.734913, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:36.942767, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:37.126576, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:37.190512, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 17:10:37.306391, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:38.202522, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:38.306415, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:38.455262, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:38.478745, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:38.623104, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:38.806422, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 17:10:38.830398, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:38.886339, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:39.031204, Code: BTN_TL, State: 1
[ozu] Timestamp: 2025-10-29 17:10:39.078662, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:40.991254, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:41.215039, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:41.410343, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:41.454298, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:41.619141, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:41.942313, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:42.122657, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:42.290483, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:42.486280, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:42.671104, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:42.866411, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:45.050447, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:45.219273, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:45.398611, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:45.566436, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:45.750247, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:45.975029, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:46.170335, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:46.350656, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:46.466553, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:46.534483, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:46.731279, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:46.938592, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:47.150374, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:47.343174, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 17:10:47.347170, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 17:10:49.027019, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 17:10:49.027019, Code: BTN_NORTH, State: 1
