[ozu] Timestamp: 2025-10-29 16:54:06.446322, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 16:54:08.470408, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:08.638234, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:08.806093, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:09.058354, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:09.226706, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:54:09.482467, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:54:09.790175, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:10.122356, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:54:10.177811, Code: BTN_WEST, State: 1
[koike] Timestamp: 2025-10-29 16:54:10.274715, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:54:10.398111, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:54:10.606411, Code: BTN_SOUTH, State: 1
[ozu] Timestamp: 2025-10-29 16:54:11.362181, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:54:11.673887, Code: BTN_SOUTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:12.826317, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:54:14.458276, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:15.750037, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:15.933873, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:54:15.957849, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:16.102219, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:16.270046, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:16.421924, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:54:16.534331, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:16.590274, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:16.758100, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:16.925958, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:17.094306, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:17.262132, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:17.417997, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:17.598333, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:17.782647, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:17.949992, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:18.146312, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:19.042493, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:19.238290, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:19.378160, Code: BTN_NORTH, State: 1
[ozu] Timestamp: 2025-10-29 16:54:22.110576, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:24.361922, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:24.529773, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:24.709783, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:24.906104, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:25.229796, Code: BTN_TR, State: 1
[ozu] Timestamp: 2025-10-29 16:54:25.610445, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:54:27.042086, Code: BTN_EAST, State: 1
[ozu] Timestamp: 2025-10-29 16:54:28.698543, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:28.770468, Code: BTN_WEST, State: 1
[ozu] Timestamp: 2025-10-29 16:54:29.605674, Code: BTN_EAST, State: 1
[koike] Timestamp: 2025-10-29 16:54:29.778002, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:29.946350, Code: BTN_NORTH, State: 1
[koike] Timestamp: 2025-10-29 16:54:30.841995, Code: BTN_NORTH, State: 1
