[keita] Timestamp: 2025-10-29 15:36:07.208988, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:36:07.357456, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:07.405461, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:07.589048, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:07.908748, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:08.104789, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:08.245311, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:09.225194, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:09.477371, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:09.493376, Code: BTN_THUMBL, State: 1
[keita] Timestamp: 2025-10-29 15:36:09.784756, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:09.852755, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:09.868729, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:10.093450, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:10.164467, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:10.420500, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:10.444479, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:10.444479, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:10.444479, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:10.681057, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:10.737137, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:10.933126, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:11.100692, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:11.269042, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:11.381175, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:11.500804, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:11.548881, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:11.701041, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:11.705039, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:12.025163, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:12.180785, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:12.348434, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:12.488929, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:13.113373, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:13.424713, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:13.520627, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:13.608706, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:13.696864, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:13.804395, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:13.928973, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:13.944865, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:14.320863, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:14.385358, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:14.664409, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:14.888388, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:14.900402, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:15.176851, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:15.205167, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:15.212670, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:15.356711, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:15.485167, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:15.485167, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:15.513151, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:15.693161, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:15.832826, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:16.016428, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:16.072811, Code: BTN_THUMBL, State: 1
[keita] Timestamp: 2025-10-29 15:36:16.196807, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:16.420812, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:16.604316, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:16.772456, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:16.936739, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:16.952725, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:17.136560, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:17.289127, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:17.528791, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:17.753154, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:17.777133, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:17.904941, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:17.976707, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:18.144668, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:18.325108, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:18.425078, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:18.492532, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:21.796636, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:21.896300, Code: BTN_THUMBL, State: 1
[keita] Timestamp: 2025-10-29 15:36:21.964438, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:22.105089, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:22.372288, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:22.392304, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:22.541040, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:22.691893, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:22.876435, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:23.072674, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:23.256851, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:23.592297, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:23.760732, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:24.264610, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:24.432547, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:24.516840, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:24.668449, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:24.720411, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:24.824270, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:24.948109, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:25.116095, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:25.452541, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:27.132621, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:28.072326, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:28.392238, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:28.548048, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:28.744139, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:28.912090, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:29.344244, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:29.540229, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:30.120033, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:30.400267, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:33.576807, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:34.804596, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:34.831917, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:35.800270, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:35.979966, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:36.612312, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:36.903810, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:37.088387, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:37.284202, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:37.424688, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:38.668225, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:38.836415, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:38.976183, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:39.132268, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:39.284212, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:39.508192, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:39.664420, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:39.788383, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:39.916025, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:40.055950, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:40.816434, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:41.328112, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:41.484303, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:41.636033, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:41.804516, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:42.111844, Code: BTN_EAST, State: 1
[keita] Timestamp: 2025-10-29 15:36:42.324054, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:36:43.140332, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:43.415991, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:43.456257, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:43.528182, Code: ABS_Z, State: 1
[keita] Timestamp: 2025-10-29 15:36:43.651650, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:43.988532, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:44.155965, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:44.268007, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:44.323798, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:44.395729, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:44.515869, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:44.535851, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:44.676115, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:44.800338, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:44.912510, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:45.068219, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:45.207871, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:45.291660, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:45.431704, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:45.599931, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:46.927906, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:47.067778, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:47.195740, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:47.347880, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:47.460157, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:47.588326, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:47.784323, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:47.879470, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:47.980311, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:48.132453, Code: BTN_NORTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:48.300160, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:48.851792, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:48.919702, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:48.932191, Code: BTN_WEST, State: 1
[keita] Timestamp: 2025-10-29 15:36:49.071535, Code: BTN_WEST, State: 1
[kota] Timestamp: 2025-10-29 15:36:49.119766, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:36:49.119766, Code: BTN_SOUTH, State: 1
[keita] Timestamp: 2025-10-29 15:36:49.196384, Code: BTN_THUMBL, State: 1
[keita] Timestamp: 2025-10-29 15:36:49.363894, Code: BTN_NORTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:49.367873, Code: BTN_SOUTH, State: 1
[kota] Timestamp: 2025-10-29 15:36:49.403987, Code: BTN_TR, State: 1
[keita] Timestamp: 2025-10-29 15:36:49.531973, Code: BTN_NORTH, State: 1
